sampleType,timestamp,distance,power,accelX,accelY,accelZ,boatAccelX,boatAccelY,boatAccelZ,gyroX,gyroY,gyroZ,latitude,longitude,speed,gpsHeading,gpsAltitude,gpsAccuracy,spm,strokeCount,driveTime,recoveryTime,driveRatio,catchDuration,gravityX,gravityY,gravityZ,detectorMode,detectorAboveThreshold,detectorForcedStroke,detectorResumingFromGap,detectorRejectionReason,detectorPeakProminence,detectorTimeAboveThresholdMs,detectorTimeSinceLastStrokeMs,detectorSmoothedMagnitude,detectorGravityAlpha,detectorGravityShiftG,detectorConfidence
sensor,1768475732741,2503.3622364554744,0,-0.10359807312488556,0.8147583603858948,0.5223954916000366,-0.10359807312488556,0.8147583603858948,0.5223954916000366,0,0,0,10.0161551,9.9889656,2.5523458540076427,307,987.6,1.7000000476837158,,0,0.092,1.101,0.07711651299245599,0,-0.12212335930800981,0.9011343640294801,0.4039699363228586,classic,0,0,0,none,0,0,0,1.509278106037708,-0.12212335930800981,0.1484875302136004,0
sensor,1768475734737,2508.2856982214116,0,-0.28266534209251404,0.7789663672447205,0.5594112277030945,-0.28266534209251404,0.7789663672447205,0.5594112277030945,0,0,0,10.0161818,9.9889297,2.552109559256476,303,987.6,1.7000000476837158,,0,0.234,0.865,0.21292083712465878,0.056,-0.1266355057203887,0.8970325687588053,0.4178272591165492,classic,0,0,0,none,0,0,0,1.7956164217495751,-0.1266355057203887,0.2427316866193848,0
sensor,1768475736731,2513.2024633365354,0,0.015907572582364082,0.9096838235855103,0.44285768270492554,0.015907572582364082,0.9096838235855103,0.44285768270492554,0,0,0,10.0162084,9.9888938,2.551737302905678,308,987.4,1.7000000476837158,,0,0.9,0.2639999999999999,0.7731958762886598,0,-0.12941558295714975,0.8931970733491483,0.42620079011432654,classic,0,0,0,none,0,0,0,1.9284364430337704,-0.12941558295714975,0.14794053330307347,0
sensor,1768475738792,2518.2635753852906,0,-0.12042339146137238,0.8683852553367615,0.5289267897605896,-0.12042339146137238,0.8683852553367615,0.5289267897605896,0,0,0,10.0162351,9.9888564,2.547345794950876,308,986.8000000000001,1.6829999685287476,,0,0.464,0.7,0.39862542955326463,0,-0.13320664824038295,0.8863443264448227,0.44157638410962474,classic,0,0,0,none,0,0,0,1.2373322495507113,-0.13320664824038295,0.09054173830295319,0
sensor,1768475740743,2523.1870402561744,0,-0.21822437644004822,0.8221004009246826,0.5227014422416687,-0.21822437644004822,0.8221004009246826,0.5227014422416687,0,0,0,10.0162618,9.9888205,2.534799590481892,311,986.8000000000001,1.6660000085830688,,0,0.117,0.8150000000000001,0.1255364806866953,0.233,-0.13686540055485913,0.8830649791628853,0.4442313041854143,classic,0,0,0,none,0,0,0,1.7472125563074408,-0.13686540055485913,0.1290724830847604,0
sensor,1768475742759,2528.577103086662,0,-0.24564965069293976,0.839017391204834,0.4496948719024658,-0.24564965069293976,0.839017391204834,0.4496948719024658,0,0,0,10.0162951,9.9887848,2.5288578957920893,304,987.4,1.649999976158142,,0,0,1.297,0,0,-0.1359918658542287,0.8849335661791272,0.4426274232160698,classic,0,0,0,none,0,0,0,1.8937933071179245,-0.1359918658542287,0.11969116648651838,0
sensor,1768475744737,2533.8701365730876,0,-0.2371910959482193,0.902953565120697,0.39034736156463623,-0.2371910959482193,0.902953565120697,0.39034736156463623,0,0,0,10.0163251,9.9887473,2.528980615541149,307,987.9,1.6660000085830688,,0,1.032,0.05899999999999994,0.9459211732355638,0,-0.14666093457410914,0.8783788102679212,0.4492813465711773,classic,0,0,0,none,0,0,0,0.9577189818694101,-0.14666093457410914,0.11133956329325223,0
sensor,1768475746738,2538.762228316691,0,-0.16936977207660675,0.885118842124939,0.5119944214820862,-0.16936977207660675,0.885118842124939,0.5119944214820862,0,0,0,10.0163534,9.9887131,2.5306074784142263,308,988.3000000000001,1.6829999685287476,,0,0.816,0.174,0.8242424242424242,0.176,-0.14701684909691487,0.8778414638866047,0.4535100680553653,classic,0,0,0,none,0,0,0,1.3789962452370985,-0.14701684909691487,0.06334874349139255,0
sensor,1768475748757,2543.281960639482,0,-0.22434267401695251,0.8260772228240967,0.547480583190918,-0.22434267401695251,0.8260772228240967,0.547480583190918,0,0,0,10.0163784,9.9886805,2.5331881843085395,311,988,1.7000000476837158,,0,0.725,0.32499999999999996,0.6904761904761906,0.116,-0.03492635167182836,1.0006611388187474,0.3841238915393892,classic,0,0,0,none,0,0,0,2.814761121801821,-0.03492635167182836,0.30656313482636277,0
sensor,1768475750756,2548.889619320267,0,0.015295743942260742,1.0316519737243652,0.243707075715065,0.015295743942260742,1.0316519737243652,0.243707075715065,0,0,0,10.0164068,9.9886382,2.543368512461879,307,988.4,1.7000000476837158,,0,0.275,0.8669999999999999,0.2408056042031524,0,-0.055782860219097556,0.9775662106911769,0.4009332252329786,classic,0,0,0,none,0,0,0,1.5680864373580448,-0.055782860219097556,0.1817331658969218,0
sensor,1768475752795,2554.3026025736585,0,-0.19792692363262177,0.8499386310577393,0.5095471143722534,-0.19792692363262177,0.8499386310577393,0.5095471143722534,0,0,0,10.0164318,9.9885958,2.547670649720016,305,988.4,1.7000000476837158,,0,1.152,0,1,0,-0.0709343653292518,0.9589263562004257,0.42252810579837546,classic,0,0,0,none,0,0,0,2.318924419048762,-0.0709343653292518,0.1895684720628823,0
sensor,1768475754725,2559.406791872717,0,-0.15326334536075592,0.8233239650726318,0.6047937273979187,-0.15326334536075592,0.8233239650726318,0.6047937273979187,0,0,0,10.0164568,9.9885567,2.5447910176984885,307,988.4,1.7000000476837158,,0,0.35,0.785,0.3083700440528634,0.058,-0.08276067769753172,0.9469910314079869,0.43027396616969826,classic,0,0,0,none,0,0,0,2.286588461154473,-0.08276067769753172,0.22634566328221029,0
sensor,1768475756741,2564.2988845824966,0,0.016213487833738327,0.9423249363899231,0.4498019516468048,0.016213487833738327,0.9423249363899231,0.4498019516468048,0,0,0,10.0164851,9.9885225,2.5409240796580703,303,988.3000000000001,1.7000000476837158,,0,0.503,0.634,0.44239226033421286,0,-0.09298791462031224,0.9026160844112677,0.41435453705879893,classic,0,0,0,none,0,0,0,2.606576683289867,-0.09298791462031224,0.1220940428666398,0
sensor,1768475758731,2569.568317476201,0,-0.14102675020694733,0.8589019179344177,0.4763094484806061,-0.14102675020694733,0.8589019179344177,0.4763094484806061,0,0,0,10.0165168,9.9884867,2.5359952275552717,310,988.3000000000001,1.7000000476837158,,0,0.176,0.9710000000000001,0.15344376634699214,0,-0.11300766621552118,0.8917230591420889,0.4326036749654303,classic,0,0,0,none,0,0,0,1.41321548667518,-0.11300766621552118,0.06172925369343752,0
sensor,1768475760801,2574.580622980103,0,-0.24993246793746948,0.8254654407501221,0.46060073375701904,-0.24993246793746948,0.8254654407501221,0.46060073375701904,0,0,0,10.0165484,9.9884541,2.525409551015693,306,988.9,1.7000000476837158,,0,0.048,1.1219999999999999,0.041025641025641026,0,-0.11856089435657531,0.8866853504682181,0.4413767056762645,classic,0,0,0,none,0,0,0,1.1637664002364991,-0.11856089435657531,0.1469397978973626,0
